,AGE,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,HEIGHT,LOSES,MIN,NUM,OREB,PF,PLAYER,PLAYER_ID,PLUS_MINUS,POSITION,PTS,REB,SEASON,STL,TOV,TeamID,Unnamed: 0,WEIGHT,WINS,WL
13,23.0,0.6811594202898551,0.2898550724637681,2.739130434782609,2,1.8115942028985508,0.7101449275362319,0.28139130434782605,4.898550724637682,2.289855072463768,0.4385652173913044,1.1014492753623188,0.7826086956521741,0.3188550724637681,69.0,6-6,34.0,20.666666666666668,40,0.8260869565217391,0.9130434782608696,Glenn Robinson III,203922,-1.072463768115942,G-F,6.072463768115942,3.565217391304348,2016,0.5942028985507246,0.5362318840579711,1610612754,13,222,35.0,
14,29.0,7.792682926829267,0.3902439024390244,3.6219512195121952,7,3.0731707317073167,1.0975609756097562,0.3690487804878047,11.085365853658537,4.902439024390244,0.4455731707317073,5.060975609756096,4.390243902439025,0.7651585365853657,82.0,6-2,40.0,32.42682926829269,44,0.4024390243902439,2.0121951219512195,Jeff Teague,201952,0.6097560975609756,G,15.292682926829267,4.024390243902439,2016,1.2195121951219512,2.6341463414634148,1610612754,14,186,42.0,
1,25.0,6.592592592592593,0.12345679012345677,2.617283950617284,1,0.6790123456790124,0.13580246913580246,0.08744444444444445,6.320987654320987,2.9135802469135803,0.4467407407407407,1.1111111111111112,0.9012345679012346,0.35758024691358026,81.0,6-2,54.0,26.395061728395067,1,0.4814814814814815,1.7160493827160497,T.J. McConnell,204456,-3.851851851851852,G,6.864197530864197,3.098765432098765,2016,1.6543209876543212,1.9629629629629632,1610612755,1,200,27.0,
3,21.0,1.16,0.98,3.18,1,0.0,0.0,0.0,9.42,4.84,0.50808,3.16,2.12,0.4899199999999999,50.0,6-11,35.0,22.7,8,1.62,2.44,Jahlil Okafor,1626143,-6.44,C,11.8,4.8,2016,0.4,1.82,1610612755,3,275,15.0,
4,23.0,2.2469135802469142,0.3703703703703704,4.950617283950617,R,4.209876543209877,1.308641975308642,0.2885308641975308,11.444444444444445,4.703703703703703,0.3844691358024693,2.716049382716049,2.123456790123457,0.6090987654320988,81.0,6-10,53.0,26.271604938271604,9,1.3827160493827158,2.0,Dario Saric,203967,-3.728395061728395,F,12.839506172839506,6.333333333333332,2016,0.7037037037037037,2.2592592592592595,1610612755,4,223,28.0,
5,23.0,2.35,0.4,2.5625,2,4.4875,1.65,0.3543374999999999,7.925,3.1375,0.3949875,1.875,1.525,0.521875,80.0,6-6,53.0,27.3875,11,0.2625,1.8,Nik Stauskas,203917,-2.3125,G,9.45,2.825,2016,0.5625,1.6,1610612755,5,205,27.0,
6,29.0,1.5555555555555556,0.20833333333333331,2.0972222222222223,7,2.4027777777777777,0.8472222222222222,0.3135277777777778,7.6805555555555545,3.25,0.40750000000000014,2.2916666666666665,1.8472222222222223,0.4916805555555555,72.0,6-5,48.0,23.180555555555557,12,0.4722222222222222,1.7916666666666667,Gerald Henderson,201945,-4.291666666666667,G,9.194444444444443,2.5694444444444446,2016,0.5555555555555556,0.8611111111111112,1610612755,6,215,24.0,
7,31.0,5.0588235294117645,0.05882352941176471,2.0,4,3.7058823529411766,1.3529411764705883,0.3439558823529411,7.882352941176472,3.0882352941176467,0.3971764705882352,0.3970588235294117,0.2647058823529412,0.17279411764705882,68.0,6-3,44.0,22.308823529411764,14,0.3088235294117647,1.3970588235294117,Sergio Rodriguez,200771,-2.014705882352941,G,7.794117647058822,2.3088235294117645,2016,0.7205882352941176,1.8823529411764703,1610612755,7,176,24.0,
8,22.0,1.0869565217391304,0.14492753623188406,1.7971014492753623,R,2.333333333333333,0.7246376811594203,0.2483623188405797,5.231884057971015,2.101449275362319,0.368,1.7826086956521738,1.5217391304347827,0.4946811594202899,69.0,6-6,46.0,17.231884057971016,20,0.3623188405797101,2.231884057971014,Timothe Luwawu-Cabarrot,1627789,-0.8405797101449275,G-F,6.449275362318841,2.1594202898550723,2016,0.463768115942029,1.0579710144927537,1610612755,8,205,23.0,
10,23.0,1.0175438596491229,0.9649122807017544,3.8070175438596485,1,1.350877192982456,0.4736842105263158,0.2324385964912281,7.228070175438598,4.035087719298246,0.5663684210526316,1.8070175438596487,1.263157894736842,0.4783508771929824,57.0,6-10,41.0,20.87719298245614,22,1.649122807017544,2.3859649122807016,Richaun Holmes,1626158,-4.0,F,9.807017543859649,5.4561403508771935,2016,0.7368421052631579,0.9649122807017544,1610612755,10,245,16.0,
11,23.0,0.88,0.30666666666666664,2.3466666666666667,1,2.5866666666666664,0.7733333333333333,0.2702133333333333,5.8533333333333335,2.48,0.3937333333333333,1.72,1.36,0.41189333333333344,75.0,6-6,51.0,16.36,23,0.92,1.4533333333333334,Justin Anderson,1626147,-2.5866666666666664,G-F,7.093333333333334,3.2666666666666666,2016,0.5466666666666666,0.88,1610612755,11,228,24.0,
13,26.0,1.5223880597014925,1.0298507462686568,5.134328358208955,3,6.149253731343284,2.044776119402985,0.32010447761194033,10.92537313432836,4.358208955223882,0.3817910447761194,2.5970149253731343,2.1343283582089554,0.636089552238806,67.0,6-9,40.0,31.58208955223881,33,1.3731343283582091,3.029850746268657,Robert Covington,203496,-2.3134328358208958,F,12.8955223880597,6.507462686567163,2016,1.8955223880597012,1.955223880597015,1610612755,13,215,27.0,
0,19.0,0.7317073170731707,0.8536585365853658,3.0731707317073167,R,2.731707317073171,0.8780487804878049,0.2909756097560975,7.7073170731707314,3.463414634146341,0.448219512195122,2.207317073170732,1.3780487804878048,0.4025121951219511,82.0,6-10,58.0,21.219512195121947,0,1.170731707317073,3.2073170731707314,Marquese Chriss,1627737,-4.658536585365853,F,9.182926829268293,4.243902439024391,2016,0.8170731707317073,1.3170731707317074,1610612756,0,233,24.0,
1,20.0,3.435897435897436,0.2692307692307692,2.602564102564102,1,5.1923076923076925,1.8846153846153848,0.33367948717948703,18.346153846153847,7.769230769230768,0.4183205128205127,5.653846153846153,4.705128205128204,0.809679487179487,78.0,6-6,54.0,35.03846153846154,1,0.5897435897435898,3.102564102564102,Devin Booker,1626164,-2.8974358974358974,G,22.128205128205128,3.1923076923076925,2016,0.9230769230769232,3.08974358974359,1610612756,1,206,24.0,
