,Unnamed: 0,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS,TEAM_ID,TEAM_NAME,EASTERN
51,7,By Year,2010-11,82,19,63,0.23199999999999998,48.2,35.2,81.1,0.434,6.2,18.2,0.342,18.9,25.3,0.745,10.4,29.9,40.3,21.0,14.2,6.6,4.2,6.0,20.1,21.3,95.5,-9.0,1,21,21,21,20,17,14,18,11,11,16,8,8,16,18,15,19,13,11,21,13,17,7,3,14,21,210,2010-11,0,1610612739,CLE,True
52,8,By Year,2009-10,82,61,21,0.7440000000000001,48.2,37.8,77.9,0.485,7.3,19.3,0.381,19.1,26.6,0.72,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4.0,19.4,20.8,102.1,6.5,1,2,2,2,17,4,19,1,6,7,3,6,5,19,19,4,10,8,5,19,8,1,4,5,5,2,210,2009-10,1,1610612739,CLE,True
53,9,By Year,2008-09,82,66,16,0.805,48.2,36.9,78.7,0.46799999999999997,8.0,20.4,0.39299999999999996,18.6,24.5,0.757,10.8,31.4,42.2,20.3,12.7,7.2,5.3,4.1,20.3,20.3,100.3,8.9,1,1,1,1,18,7,17,4,5,5,1,11,13,4,16,8,14,19,1,11,6,2,8,11,6,1,210,2008-09,1,1610612739,CLE,True
54,10,By Year,2007-08,82,45,37,0.5489999999999999,48.4,35.8,81.7,0.439,6.7,18.8,0.358,18.0,25.1,0.7170000000000001,13.3,31.3,44.6,20.0,14.0,7.1,5.2,4.7,20.9,20.3,96.4,-0.4,1,10,11,10,10,13,10,16,8,10,11,15,9,20,4,9,3,20,8,14,7,10,10,10,13,12,210,2007-08,1,1610612739,CLE,True
55,11,By Year,2006-07,82,50,32,0.61,48.5,36.3,81.2,0.447,6.0,17.1,0.35200000000000004,18.1,26.0,0.696,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22.0,96.8,3.8,1,6,7,6,3,10,13,11,13,13,13,14,7,22,6,11,7,16,13,9,12,4,16,2,10,5,210,2006-07,1,1610612739,CLE,True
56,12,By Year,2005-06,82,50,32,0.61,48.4,35.5,78.2,0.45399999999999996,6.1,17.9,0.33899999999999997,20.6,28.3,0.7290000000000001,11.7,30.6,42.3,19.0,13.9,6.9,4.8,4.4,21.1,22.5,97.6,2.2,1,6,7,6,12,15,18,8,12,12,18,1,1,17,12,12,11,22,5,18,10,7,12,1,8,8,210,2005-06,1,1610612739,CLE,True
57,13,By Year,2004-05,82,42,40,0.512,48.4,36.5,81.5,0.447,3.7,11.0,0.332,19.9,26.5,0.752,13.6,28.7,42.3,22.6,13.9,8.0,5.6,5.1,22.6,0.0,96.5,0.8,1,11,12,11,5,9,11,12,17,17,20,5,6,8,3,19,12,7,7,5,4,11,17,21,11,11,210,2004-05,0,1610612739,CLE,True
58,14,By Year,2003-04,82,35,47,0.42700000000000005,48.4,35.6,82.4,0.433,3.0,9.6,0.314,18.6,24.7,0.753,13.6,31.9,45.6,22.0,14.8,7.1,6.5,5.3,21.3,0.0,92.9,-2.6,1,13,15,14,6,14,6,20,21,21,22,10,12,7,1,6,1,10,16,12,1,12,14,20,17,14,210,2003-04,0,1610612739,CLE,True
59,15,By Year,2002-03,82,17,65,0.207,48.4,34.8,82.3,0.42200000000000004,3.6,10.9,0.327,18.3,24.5,0.747,13.6,31.0,44.6,20.9,18.3,7.8,6.4,6.0,22.7,0.1,91.4,-9.6,1,22,22,22,12,18,7,21,20,18,21,12,13,15,1,10,2,15,22,8,2,18,18,19,20,22,210,2002-03,0,1610612739,CLE,True
60,16,By Year,2001-02,82,29,53,0.354,48.4,36.0,80.3,0.44799999999999995,4.7,12.5,0.377,18.6,24.1,0.772,11.8,30.3,42.1,23.1,14.6,7.0,5.7,5.6,21.4,0.1,95.3,-3.3,1,17,19,18,6,12,15,10,15,15,4,9,15,2,11,14,17,4,15,17,3,14,15,17,15,16,210,2001-02,0,1610612739,CLE,True
