,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS
14,By Year,2003-04,82,41,41,0.5,48.7,35.3,78.9,0.448,4.6,13.4,0.346,15.4,21.1,0.731,12.7,29.0,41.7,21.6,14.8,7.5,5.4,4.8,19.0,0.0,90.7,-1.3,1,14,16,15,2,17,14,17,18,19,19,22,20,19,6,18,13,8,14,9,4,11,3,20,21,18,210,2003-04,0
15,By Year,2002-03,82,50,32,0.61,48.4,36.4,79.2,0.46,4.6,14.0,0.33,17.7,23.7,0.745,12.1,29.0,41.1,22.7,15.2,8.8,3.9,4.8,19.9,0.1,95.2,2.6,1,5,7,7,11,12,12,6,19,16,21,12,8,16,9,17,15,5,17,1,22,13,9,19,16,11,210,2002-03,1
16,By Year,2001-02,82,49,33,0.598,48.4,36.6,81.4,0.45,5.7,16.1,0.354,17.7,23.2,0.763,13.2,29.8,43.0,23.5,14.3,8.6,4.5,5.0,19.7,0.1,96.6,3.0,1,8,10,10,13,9,8,12,13,13,13,11,13,12,2,12,9,2,10,2,17,16,8,18,12,10,210,2001-02,1
17,By Year,2000-01,82,50,32,0.61,48.2,36.6,78.3,0.468,4.5,12.9,0.349,17.6,23.2,0.762,11.7,30.3,42.0,23.9,15.3,8.2,5.1,4.0,21.3,0.0,95.4,4.2,1,5,7,7,19,9,19,2,20,20,16,13,14,13,12,10,11,1,18,4,7,5,15,21,14,5,210,2000-01,1
18,By Year,1999-00,82,59,23,0.72,48.2,36.8,78.4,0.47,5.0,13.8,0.361,18.8,24.7,0.76,11.8,31.2,43.0,23.5,15.2,7.7,4.8,4.3,22.7,1.7,97.5,6.4,1,1,2,1,18,6,17,1,16,17,10,7,5,14,11,7,10,3,16,8,12,8,21,14,10,1,210,1999-00,1
19,By Year,1998-99,50,35,15,0.7,48.7,34.9,79.1,0.442,4.9,13.5,0.364,20.0,27.0,0.743,12.9,31.4,44.3,21.5,15.4,8.2,5.8,4.9,22.5,0.2,94.8,6.4,22,17,1,2,3,21,13,22,17,18,7,1,3,17,4,6,5,10,19,3,2,14,19,17,17,2,210,1998-99,1
20,By Year,1997-98,82,46,36,0.561,48.4,35.2,78.0,0.451,4.0,12.8,0.309,20.0,27.1,0.737,13.2,30.8,44.0,21.5,16.9,7.1,5.7,5.4,22.7,0.2,94.3,1.4,1,11,13,13,13,19,20,9,22,21,22,2,2,18,1,8,6,9,22,10,3,22,20,16,18,13,210,1997-98,1
21,By Year,1996-97,82,49,33,0.598,50.1,36.6,78.8,0.464,6.1,17.1,0.358,19.7,27.6,0.713,12.9,30.4,43.3,20.8,16.5,7.8,5.3,5.2,21.5,0.2,99.0,4.2,1,8,10,10,1,11,15,4,11,11,11,3,1,21,5,9,8,16,21,7,6,20,16,15,7,6,210,1996-97,1
0,By Year,2017-18,71,23,48,0.324,48.2,38.9,86.1,0.452,9.1,23.9,0.383,12.6,17.0,0.737,9.5,31.2,40.6,21.4,13.8,8.1,4.1,4.7,19.9,17.6,99.5,-7.5,20,20,11,19,20,6,5,12,1,2,3,22,22,15,21,10,17,13,3,12,14,4,5,13,17,21,210,2017-18,0
1,By Year,2016-17,82,32,50,0.39,48.5,37.9,82.1,0.461,9.0,23.9,0.376,18.1,23.3,0.775,8.7,32.3,41.1,22.5,14.6,7.6,4.0,5.1,20.3,20.1,102.8,-3.9,1,12,15,13,5,11,14,6,2,1,5,14,18,6,22,7,16,9,10,14,17,10,8,10,6,15,210,2016-17,0
